5.9823	30.148	-2.05513
5.78439	29.7925	-2.03854
5.59271	29.4299	-2.02266
5.40512	29.0614	-2.00835
5.2175	28.6875	-1.99474
5.0368	28.3101	-1.98147
4.84381	27.9046	-1.96978
4.6496	27.4885	-1.95896
4.47531	27.0756	-1.94796
4.31012	26.6587	-1.93836
4.14401	26.2322	-1.92911
3.98752	25.8053	-1.91969
3.83832	25.3729	-1.91218
3.68951	24.9336	-1.90485
3.53751	24.4917	-1.89839
3.38449	24.0442	-1.89246
3.2294	23.5961	-1.8853
3.07581	23.1399	-1.87937
2.931	22.6733	-1.87466
2.78992	22.2106	-1.8696
2.64929	21.7371	-1.86419
2.504	21.2607	-1.85895
2.3519	20.7838	-1.85284
2.20111	20.2998	-1.84638
2.0621	19.8088	-1.84115
1.93192	19.314	-1.83539
1.8056	18.816	-1.82876
1.67752	18.3177	-1.82125
1.55139	17.8179	-1.81514
1.42502	17.3123	-1.80921
1.30652	16.8038	-1.80258
1.19211	16.2941	-1.79559
1.07629	15.7844	-1.78896
0.958893	15.2762	-1.78163
0.829193	14.7677	-1.77448
0.712097	14.2613	-1.76819
0.609497	13.7585	-1.76191
0.516907	13.2597	-1.7551
0.428314	12.7623	-1.74812
0.331421	12.2218	-1.74341
0.249115	11.7831	-1.73835
0.150299	11.2512	-1.73241
0.0718994	10.8234	-1.72788
-0.0116882	10.3082	-1.72456
-0.0770874	9.8476	-1.72247
-0.146088	9.3997	-1.7174
-0.208496	9.0055	-1.71426
-0.279694	8.5763	-1.71147
-0.354706	8.116	-1.70763
-0.412994	7.7081	-1.70484
-0.46579	7.3055	-1.70222
-0.509399	6.9161	-1.69943
-0.556305	6.5307	-1.69594
-0.609009	6.1529	-1.69297
-0.668701	5.7882	-1.69018
-0.723389	5.4215	-1.68738
-0.765289	5.0582	-1.68459
-0.798004	4.7351	-1.6818
-0.835907	4.3415	-1.67796
-0.865906	3.9833	-1.67464
-0.898804	3.6289	-1.67168
-0.944305	3.2714	-1.66801
-0.9888	2.9152	-1.66382
-1.03519	2.5552	-1.65894
-1.07718	2.1926	-1.65283
-1.11499	1.8317	-1.64532
-1.15421	1.4647	-1.63747
-1.1886	1.1012	-1.62769
-1.21729	0.742599	-1.61617
-1.2381	0.3874	-1.60466
-1.25571	0.0346012	-1.59139
-1.2782	-0.3146	-1.57621
-1.30109	-0.6618	-1.5605
-1.30869	-1.0105	-1.54322
